"id","name","country","longitude","latitude","area"
"1","Stockholm","Sverige","18.06324","59.334591","188.0"
"2","Göteborg","Sverige","11.96679","57.70716","447.8"
"3","Malmö","Sverige","13.00073","55.60587","76.81"
"4","Uppsala","Sverige","17.6389","59.85856","48.77"
"5","Västerås","Sverige","16.5448","59.61093","52,94"
"6","Örebro","Sverige","15.2134","59.27432","1380"
"7","Linköping","Sverige","15.6167","58.41083","42.16"
"8","Helsingborg","Sverige","12.6934","56.04654","38.41"
"9","Jönköping","Sverige","14.1611","57.78176","44.33"
"10","Norrköping","Sverige","16.1728","58.5953","35,68"
